trial_num,word,dimension,filename,opponent,stage
0,barbul,initial,barbul1.mp4,haggen,training
1,barbul,initial,barbul2.mp4,plandar,training
2,barbul,initial,barbul3.mp4,boskot,training
3,barbul,initial,barbul1.mp4,chatten,training
4,barbul,initial,barbul2.mp4,coodle,training
5,barbul,initial,barbul3.mp4,doffle,training
6,barbul,initial,barbul1.mp4,dupen,training
7,barbul,initial,barbul2.mp4,keeder,training
8,barbul,initial,barbul3.mp4,pegget,training
9,batent,initial,batent1.mp4,haggen,training
10,batent,initial,batent2.mp4,plandar,training
11,batent,initial,batent3.mp4,boskot,training
12,batent,initial,batent1.mp4,chatten,training
13,batent,initial,batent2.mp4,coodle,training
14,batent,initial,batent3.mp4,doffle,training
15,batent,initial,batent1.mp4,dupen,training
16,batent,initial,batent2.mp4,keeder,training
17,batent,initial,batent3.mp4,pegget,training
18,cabush,initial,cabush1.mp4,haggen,training
19,cabush,initial,cabush2.mp4,plandar,training
20,cabush,initial,cabush3.mp4,boskot,training
21,cabush,initial,cabush1.mp4,chatten,training
22,cabush,initial,cabush2.mp4,coodle,training
23,cabush,initial,cabush3.mp4,doffle,training
24,cabush,initial,cabush1.mp4,dupen,training
25,cabush,initial,cabush2.mp4,keeder,training
26,cabush,initial,cabush3.mp4,pegget,training
27,fremple,initial,fremple1.mp4,haggen,training
28,fremple,initial,fremple2.mp4,plandar,training
29,fremple,initial,fremple3.mp4,boskot,training
30,fremple,initial,fremple1.mp4,chatten,training
31,fremple,initial,fremple2.mp4,coodle,training
32,fremple,initial,fremple3.mp4,doffle,training
33,fremple,initial,fremple1.mp4,dupen,training
34,fremple,initial,fremple2.mp4,keeder,training
35,fremple,initial,fremple3.mp4,pegget,training
36,joicate,initial,joicate1.mp4,haggen,training
37,joicate,initial,joicate2.mp4,plandar,training
38,joicate,initial,joicate3.mp4,boskot,training
39,joicate,initial,joicate1.mp4,chatten,training
40,joicate,initial,joicate2.mp4,coodle,training
41,joicate,initial,joicate3.mp4,doffle,training
42,joicate,initial,joicate1.mp4,dupen,training
43,joicate,initial,joicate2.mp4,keeder,training
44,joicate,initial,joicate3.mp4,pegget,training
45,lorice,initial,lorice1.mp4,haggen,training
46,lorice,initial,lorice2.mp4,plandar,training
47,lorice,initial,lorice3.mp4,boskot,training
48,lorice,initial,lorice1.mp4,chatten,training
49,lorice,initial,lorice2.mp4,coodle,training
50,lorice,initial,lorice3.mp4,doffle,training
51,lorice,initial,lorice1.mp4,dupen,training
52,lorice,initial,lorice2.mp4,keeder,training
53,lorice,initial,lorice3.mp4,pegget,training
54,nulmut,initial,nulmut1.mp4,haggen,training
55,nulmut,initial,nulmut2.mp4,plandar,training
56,nulmut,initial,nulmut3.mp4,boskot,training
57,nulmut,initial,nulmut1.mp4,chatten,training
58,nulmut,initial,nulmut2.mp4,coodle,training
59,nulmut,initial,nulmut3.mp4,doffle,training
60,nulmut,initial,nulmut1.mp4,dupen,training
61,nulmut,initial,nulmut2.mp4,keeder,training
62,nulmut,initial,nulmut3.mp4,pegget,training
63,pulact,initial,pulact1.mp4,haggen,training
64,pulact,initial,pulact2.mp4,plandar,training
65,pulact,initial,pulact3.mp4,boskot,training
66,pulact,initial,pulact1.mp4,chatten,training
67,pulact,initial,pulact2.mp4,coodle,training
68,pulact,initial,pulact3.mp4,doffle,training
69,pulact,initial,pulact1.mp4,dupen,training
70,pulact,initial,pulact2.mp4,keeder,training
71,pulact,initial,pulact3.mp4,pegget,training
72,traimin,initial,traimin1.mp4,haggen,training
73,traimin,initial,traimin2.mp4,plandar,training
74,traimin,initial,traimin3.mp4,boskot,training
75,traimin,initial,traimin1.mp4,chatten,training
76,traimin,initial,traimin2.mp4,coodle,training
77,traimin,initial,traimin3.mp4,doffle,training
78,traimin,initial,traimin1.mp4,dupen,training
79,traimin,initial,traimin2.mp4,keeder,training
80,traimin,initial,traimin3.mp4,pegget,training
81,barbul,_diff_obj,barbul_diff_obj.mp4,trindle,experiment
82,barbul,_diff_proc,barbul_diff_proc.mp4,snoggle,experiment
83,barbul,_diff_state,barbul_diff_state.mp4,plancher,experiment
84,barbul,_same_obj,barbul_same_obj.mp4,tromper,experiment
85,barbul,_same_proc,barbul_same_proc.mp4,crabble,experiment
86,barbul,_same_state,barbul_same_state.mp4,snorple,experiment
87,batent,_diff_obj,batent_diff_obj.mp4,snoggle,experiment
88,batent,_diff_proc,batent_diff_proc.mp4,crabble,experiment
89,batent,_diff_state,batent_diff_state.mp4,crindle,experiment
90,batent,_same_obj,batent_same_obj.mp4,tuffer,experiment
91,batent,_same_proc,batent_same_proc.mp4,crindle,experiment
92,batent,_same_state,batent_same_state.mp4,crabble,experiment
93,cabush,_diff_obj,cabush_diff_obj.mp4,frabble,experiment
